ID_Record,Tax Account,Legal Account ID,Sec ID,CUSIP,Entry CD,Currency,Net Amount,Withholding Amount,Credit and Debit,Tax Type,Tax Type Definition,Transaction Date
651,61989482,58467591,8154943,4098025,DIV,CHF,76119,6668,Credit,NAV,Net Asset Value,2016-12-21
92,15016262,24175177,4752723,8779592,DIV,USD,90824,8397,Credit,EBT,Earnings Before Taxes,2020-01-23
938,64878326,80071652,6859918,8281792,INT,NZD,47733,5060,Debit,ADMIN,Administrative,2020-07-17
950,39688039,60700785,7294215,1871918,DIV,USD,13425,9474,Debit,TV,Transfer Value,2022-01-26
986,84400855,26569981,4546095,2154619,INT,USD,11959,9293,Credit,MBO,Management Buy Out,2017-03-26
66,67243915,99858025,2436361,2764134,DIV,USD,58657,5034,Credit,UHNW,Ultra High Net Worth,2022-09-27
710,30005766,80404149,3815544,4075891,INT,USD,86558,3720,Debit,UHNW,Ultra High Net Worth,2023-03-17
619,40635398,57907679,7561390,8680082,DIV,NZD,49256,4814,Credit,CTF,Child Trust Fund,2021-01-26
845,38563885,25250826,8665661,2227208,DIV,USD,21879,9261,Debit,PBT,Profit before Taxes,2019-09-07
343,88675739,18492606,8774581,9168720,INT,USD,49800,8451,Debit,Q3,Third quarter of the year,2012-01-12
813,58335111,20331878,4416261,7088735,DIV,CNY,94407,8974,Credit,PV,Present Value,2014-05-02
708,33429565,50130795,1889049,6053833,DIV,JPY,62424,3548,Credit,Q1,First quarter of the year,2011-09-24
659,88074438,26750452,3328549,9126624,INT,AUD,31101,799,Debit,C+MV,Cost Plus Market Value,2024-01-08
853,67449811,54396323,7543388,2199984,DIV,USD,71033,1670,Credit,EC,European Commission,2017-04-06
441,60974153,86660985,9954252,8281347,INT,USD,34593,6962,Debit,ADDL,Additional,2020-08-13
6,80846630,55778127,2772969,1748990,DIV,USD,31300,7952,Debit,CT,Corporation Tax,2015-08-24
233,38031094,68055950,8082671,5240982,INT,USD,30316,4673,Credit,CT,Corporation Tax,2017-02-04
346,17972223,71507569,7396209,1885324,DIV,USD,97927,9272,Debit,CDS,Credit Default Swap,2019-12-23
273,21643845,96595579,1753360,3604003,INT,USD,45389,1479,Credit,FoHF,Fund of Hedge Funds,2011-04-09
818,96709480,81792117,6291114,6170425,INT,USD,85629,9299,Debit,ADMIS,Admission,2019-09-13
953,84446142,26569981,4124152,7651417,DIV,USD,17153,5981,Credit,LTI,Loan to Income,2014-12-23
445,78997439,63470824,5279823,7325921,DIV,CAD,51457,1722,Debit,C/S,Cost Sharing,2016-10-27
717,28078006,96881023,6630753,8324709,DIV,NZD,17798,5347,Credit,TV,Transfer Value,2015-02-28
109,74302322,15355224,538515,1555229,INT,CAD,34861,7884,Credit,ABACCR,Absences Accrual - (As In Compensated Absences Accrual),2011-08-24
206,95056949,88387391,8290230,5483696,DIV,SEK,90461,1584,Credit,CAP.,Capital,2013-07-26
933,43672606,88392265,7539223,1588612,INT,USD,5274,2245,Credit,ABS,Absences - As In Compensated Absences,2014-08-04
454,83248986,59055148,6527692,6578705,DIV,CAD,46041,5821,Credit,C/S,Cost Sharing,2018-11-24
278,86270822,76145682,4731348,5909619,DIV,USD,46275,1008,Credit,CAP.,Capital,2017-06-10
928,52046885,63743714,5753712,6681354,DIV,USD,86925,3546,Credit,WPA,With Profits Actuary / With Profits Annuity,2016-12-11
710,78231333,36776425,4317818,8465809,DIV,USD,90196,9712,Credit,CTF,Child Trust Fund,2022-12-10
596,60284517,63320009,1734549,1885202,DIV,NZD,3733,4235,Debit,DGI,Domestically Generated Inflation,2021-02-23
472,11192066,40678084,6584628,8443706,INT,EUR,28469,3719,Debit,PV,Present Value,2021-09-23
130,60664996,17972223,7518393,2272239,DIV,CAD,15118,2289,Credit,CAP.,Capital,2016-09-20
277,60651304,95692685,1600770,1966428,INT,NZD,11784,605,Debit,C+MV,Cost Plus Market Value,2019-10-24
639,41548069,68424776,7721705,7579754,DIV,USD,57217,3522,Debit,WPA,With Profits Actuary / With Profits Annuity,2016-09-11
215,81243037,41069180,3620137,3748931,INT,GBP,61323,4510,Credit,VaR,Value at Risk,2016-08-10
547,99387492,78901033,6169325,9804504,INT,AUD,52569,1338,Credit,NBV,Net Book Value,2023-06-02
593,15209281,89955809,8337278,2700394,DIV,CNY,96757,1400,Debit,C+MV,Cost Plus Market Value,2012-02-04
126,37639220,72308925,6202323,3501167,INT,JPY,36505,879,Credit,Q2,Second quarter of the year,2011-11-09
422,89955809,82154926,6496865,1927196,DIV,USD,18338,1513,Debit,EBT,Earnings Before Taxes,2015-08-29
699,97135333,66593105,6678452,7920583,DIV,USD,99885,7899,Credit,CT,Corporation Tax,2021-08-31
640,19968148,61606535,1127225,2245438,INT,EUR,30869,6365,Credit,APC/APD,Amended Payroll Certification/Distribution,2021-08-01
912,76350607,64878326,9964996,5894424,DIV,NZD,75666,5607,Credit,MBI,Management Buy In,2011-07-05
713,65877123,52807748,817838,1214935,DIV,USD,15647,8019,Debit,CESR,Committee of European Securities Regulators,2023-06-05
988,30796026,80471878,1505794,8213704,DIV,AUD,48752,5647,Credit,ETF,Exchange Traded Funds,2012-07-18
840,35640634,42394987,1585606,4453382,INT,USD,76772,9696,Credit,ADJ,Adjustment,2019-09-14
121,51327477,92966810,9751821,3484359,DIV,USD,46849,5027,Credit,ETF,Exchange Traded Funds,2015-03-08
874,52048326,13396893,5954004,3360456,INT,USD,34838,2969,Debit,CIMPS,Contracted-in Money Purchase Scheme,2010-03-12
641,17180297,79929030,8487647,2363762,INT,CHF,68689,9215,Debit,COMPS,Contracted-out Money Purchase Scheme,2020-03-11
807,56095484,46191674,9527889,8291717,DIV,USD,55638,5325,Credit,NAV,Net Asset Value,2017-06-20
990,91135906,72861443,2208014,9331515,INT,USD,39468,7872,Credit,MBI,Management Buy In,2019-12-29
557,91554021,82349676,5378800,1086092,INT,EUR,35778,8650,Credit,CDS,Credit Default Swap,2017-12-14
509,63540920,12268938,1274584,7593496,INT,USD,4357,3219,Debit,ADMIS,Admission,2021-07-12
438,81434054,27949585,9000888,1383676,INT,GBP,38048,6536,Credit,ADT,Auditing,2018-06-17
909,64908388,74963686,5732509,8453817,DIV,EUR,18348,6233,Credit,ADJ,Adjustment,2013-09-10
530,67805941,57202235,7864267,5172473,DIV,SEK,72920,5778,Debit,COMPS,Contracted-out Money Purchase Scheme,2013-06-21
835,88860178,79998922,8976346,6088861,DIV,NZD,12707,3808,Debit,RCM,Risk Capital Margin,2018-04-29
545,44510644,77523240,332406,5307155,DIV,USD,92430,7812,Credit,Q2,Second quarter of the year,2020-03-26
838,62420566,49583973,9388335,1660737,DIV,USD,44842,8118,Credit,Q2,Second quarter of the year,2014-07-11
691,53120024,58582686,3330505,6852829,DIV,AUD,88613,3988,Credit,FoF,Fund of Funds,2019-05-27
129,82132774,18492606,6925514,9862557,INT,USD,88081,1093,Debit,CAR,Centralized Accounts Receivable,2012-10-07
512,70752146,73115564,4991620,4558747,INT,EUR,81087,9867,Debit,Q2,Second quarter of the year,2016-07-09
585,52209813,84170877,9632798,4773887,DIV,USD,70970,5327,Debit,ADT,Auditing,2023-07-31
847,60988514,48240182,7542481,3704148,DIV,SEK,20845,9460,Credit,FoF,Fund of Funds,2013-04-10
529,61441563,76181667,4495203,8576768,INT,USD,46345,8542,Credit,PBT,Profit before Taxes,2016-04-07
308,55420199,61441563,7517365,6850980,DIV,USD,72434,456,Debit,EC,European Commission,2011-01-18
96,33771779,66818712,3638445,1589417,DIV,CHF,12117,3071,Credit,UHNW,Ultra High Net Worth,2010-04-28
879,33722886,66106388,487239,3941444,INT,GBP,70738,3368,Credit,B & C,Bonds And Coupons,2012-05-03
377,20361857,75711159,4803098,8544742,DIV,USD,89204,7269,Credit,AFFRS,Affairs,2011-08-21
777,32173805,25672830,471547,9276951,DIV,USD,12262,4339,Credit,CAP.,Capital,2019-09-30
530,67583285,71642403,5031024,1691881,DIV,USD,34220,4964,Debit,NAV,Net Asset Value,2016-07-24
154,52062651,21259723,1596968,7383943,INT,USD,36824,2023,Debit,ADMIN,Administrative,2013-06-18
7,92486693,14334820,1607770,4525989,INT,CHF,1613,7368,Debit,WPICC,With Profits Insurance Capital Component,2016-03-17
367,72829139,35085967,5849849,8457206,INT,AUD,24947,9347,Credit,EBT,Earnings Before Taxes,2023-02-08
10,46538524,45013532,9183678,1306547,DIV,USD,42435,7976,Debit,FoHF,Fund of Hedge Funds,2023-05-19
927,68766296,99828659,7504920,5365222,INT,USD,11534,4477,Debit,RoC,Return on Capital,2023-04-05
602,62640255,28902520,6699010,8699506,DIV,NZD,31594,6773,Debit,OMO,Open Market Option,2019-12-19
698,79775376,16148534,6158748,9694765,DIV,USD,9353,5260,Credit,CTF,Child Trust Fund,2022-05-02
421,70689194,83248986,8176198,8738252,DIV,USD,57580,218,Credit,DGI,Domestically Generated Inflation,2017-03-25
485,18572216,97583144,5200193,6279008,DIV,USD,87294,449,Credit,BEN/BENF,Benefit(s),2019-01-23
810,19901546,89643546,5754208,1170436,DIV,USD,48585,3070,Credit,ADT,Auditing,2011-09-06
871,36961268,35726033,8218201,1498021,DIV,USD,78293,5860,Debit,ADMIS,Admission,2013-05-15
670,65134427,31394607,3710239,8598642,INT,SEK,92465,6882,Debit,B & C,Bonds And Coupons,2015-05-18
849,21259723,28128752,298874,3114000,INT,NZD,54870,587,Credit,FTT,Financial Transaction Tax,2013-06-01
552,23362553,41211205,4727899,3236723,INT,GBP,15568,5414,Credit,C+MV,Cost Plus Market Value,2016-02-02
823,83054319,75871739,4742367,4300557,DIV,USD,67474,4869,Debit,UHNW,Ultra High Net Worth,2018-07-20
996,54780877,71712449,5025592,4375136,DIV,JPY,36098,2017,Debit,EBT,Earnings Before Taxes,2016-11-13
230,80850471,14692902,832650,4986613,DIV,USD,87621,5943,Debit,APPROP,Appropriations,2012-05-28
167,60165900,61606535,710749,4622300,DIV,GBP,77203,9934,Credit,IHT,Inheritance Tax,2021-05-28
744,63743714,60284517,6004147,5767815,INT,USD,9285,5787,Debit,ADMIS,Admission,2023-04-20
587,75522338,31947874,2833447,7601621,DIV,CHF,23997,6775,Credit,TV,Transfer Value,2019-05-18
101,24350283,84804428,9555584,7179394,INT,USD,35265,7424,Credit,WPICC,With Profits Insurance Capital Component,2022-02-17
859,87656751,75037137,8618949,2840151,INT,USD,72340,1466,Credit,TV,Transfer Value,2012-12-04
141,69325069,67449811,8394713,5176200,INT,USD,87072,5156,Credit,PBT,Profit before Taxes,2011-06-23
263,32881232,67953850,5306925,3445801,INT,USD,16175,9521,Debit,ETF,Exchange Traded Funds,2019-08-07
386,88467734,60209088,4076405,1884236,DIV,SEK,91136,6644,Debit,ABS,Absences - As In Compensated Absences,2012-07-21
830,88392265,87922137,2925314,6985751,INT,EUR,4868,7205,Credit,AFFRS,Affairs,2010-09-08
252,64189844,56803801,6354450,3434210,DIV,JPY,7780,8005,Credit,OMO,Open Market Option,2010-10-28
345,71507569,94416946,2718295,1487945,DIV,JPY,33521,6756,Credit,MBI,Management Buy In,2019-03-07
35,67292498,53561733,1451811,8458266,INT,USD,85340,1491,Credit,ADJ,Adjustment,2023-11-04
648,16516942,24354484,4109988,2718675,INT,USD,50182,8644,Debit,WPICC,With Profits Insurance Capital Component,2013-08-13
531,22226419,84846520,742687,3736268,INT,GBP,75027,6758,Credit,PBT,Profit before Taxes,2010-12-20
49,84129252,25897110,1968106,5855532,DIV,CNY,95793,6181,Debit,WPICC,With Profits Insurance Capital Component,2012-05-12
989,26602724,20184849,368450,6262791,INT,USD,6473,677,Debit,DGI,Domestically Generated Inflation,2021-09-21
875,29007347,30005766,3323070,9766750,DIV,EUR,81183,772,Debit,TV,Transfer Value,2014-04-19
81,66639433,42012906,7012032,4340746,DIV,JPY,96421,7155,Debit,MBI,Management Buy In,2013-03-06
664,70579096,95749791,2549267,9132280,DIV,USD,93458,1600,Debit,FTT,Financial Transaction Tax,2021-02-12
243,21946987,16148534,5402893,7792558,DIV,USD,58182,9585,Credit,PV,Present Value,2012-02-22
699,78620838,10652545,187982,1355221,INT,USD,79468,8655,Credit,B & C,Bonds And Coupons,2012-11-21
949,55218825,83804122,770352,9727977,DIV,USD,7820,1518,Credit,MBI,Management Buy In,2016-10-29
269,27723222,84031182,6398811,4387838,INT,USD,46766,3173,Debit,ABS,Absences - As In Compensated Absences,2014-11-22
542,29201808,52046885,858789,8237165,INT,CHF,52669,3637,Credit,MBO,Management Buy Out,2010-05-23
432,66593105,55061086,2075879,7578338,INT,USD,49219,3040,Credit,Q3,Third quarter of the year,2015-09-17
477,67053989,59192846,5245130,3879134,INT,USD,6618,7872,Debit,BEN/BENF,Benefit(s),2020-09-24
592,70955992,53652834,4649871,5961803,INT,USD,27702,6829,Debit,PV,Present Value,2020-05-20
429,20331878,51064915,4474918,2702392,DIV,USD,69871,5595,Credit,IHT,Inheritance Tax,2019-04-01
787,89643546,76857432,4060445,2916225,DIV,USD,27389,7496,Credit,CT,Corporation Tax,2013-11-22
841,31394607,66243951,6213801,6158986,INT,USD,21662,4913,Credit,PV,Present Value,2019-11-26
401,31832459,12268938,8252242,6763585,DIV,USD,87183,3813,Debit,APC/APD,Amended Payroll Certification/Distribution,2016-04-29
482,67713469,77039478,6835462,8681440,INT,USD,13796,962,Debit,B & C,Bonds And Coupons,2016-02-20
92,71760912,14692902,2511716,4642682,INT,EUR,51048,6686,Credit,PBT,Profit before Taxes,2022-01-26
413,12127896,83972745,603323,4993167,INT,USD,83441,8035,Credit,CAP.,Capital,2023-08-04
125,57202235,47157186,1357868,2590649,INT,GBP,16966,971,Debit,Q2,Second quarter of the year,2017-08-06
372,40231218,69582047,4515904,2767544,DIV,USD,79622,1771,Debit,CTF,Child Trust Fund,2018-05-06
53,68244433,42394987,2691396,4632873,DIV,USD,49074,1663,Debit,PBT,Profit before Taxes,2016-09-15
794,66558807,84446142,8946720,9840389,INT,USD,22075,1918,Debit,Q1,First quarter of the year,2023-08-15
798,39984548,48235680,9435458,5765438,DIV,CHF,54485,8643,Debit,VaR,Value at Risk,2012-10-10
20,74122721,81086143,2344900,8603406,DIV,CHF,65683,674,Credit,WoM,Whole of Market,2010-05-24
70,46790922,18980682,7725015,6798548,INT,USD,33557,7520,Credit,BA,Bank Adjustments,2011-06-13
455,80898298,91653594,6141160,9476442,INT,CAD,71968,7578,Credit,CT,Corporation Tax,2013-01-27
684,37828211,55308154,4449302,8935138,DIV,JPY,11693,873,Debit,EBT,Earnings Before Taxes,2018-11-09
655,42743976,32118244,2160550,4412580,DIV,CNY,74276,5990,Credit,BEN/BENF,Benefit(s),2019-03-18
581,21998322,44262365,7226852,6939788,DIV,USD,1210,4898,Credit,EC,European Commission,2018-03-16
10,71470165,63001592,6996259,6889415,INT,USD,20534,5623,Debit,MBI,Management Buy In,2022-08-21
315,96595579,27599999,8183836,9772389,INT,USD,82053,8010,Debit,ABACCR,Absences Accrual - (As In Compensated Absences Accrual),2016-02-25
325,54527957,34062388,4043954,6793466,DIV,JPY,82397,9412,Credit,ADT,Auditing,2021-09-09
876,58582686,49717804,6710056,6757908,DIV,USD,45195,7057,Debit,PV,Present Value,2012-05-04
356,73291035,39059525,8735273,3154461,INT,USD,38779,8875,Credit,CAP.,Capital,2013-12-29
553,70935860,73675299,7824792,4580550,DIV,JPY,3956,6995,Debit,CWP,Conventional With Profits,2011-12-14
661,59464053,57371335,8551267,6616527,INT,GBP,80207,3245,Debit,DGI,Domestically Generated Inflation,2023-09-21
701,95692685,57734034,3102299,9617596,DIV,USD,44914,1791,Credit,WPA,With Profits Actuary / With Profits Annuity,2016-06-05
532,81909353,51460112,7939581,6068549,DIV,AUD,71414,9990,Debit,CAP.,Capital,2013-10-15
913,27798686,25672830,7259768,9789018,INT,SEK,11886,2992,Debit,MBI,Management Buy In,2019-02-21
510,79322264,91135906,202962,5628410,INT,USD,11634,1737,Debit,Q2,Second quarter of the year,2020-10-19
91,41211205,94084740,7774558,5648198,INT,USD,73515,8815,Debit,Q3,Third quarter of the year,2016-12-11
309,91906029,28591329,4344645,8777351,INT,CNY,48249,4076,Debit,Q2,Second quarter of the year,2019-12-20
164,84483665,66593105,6543426,6290175,DIV,GBP,65148,5368,Credit,C/S,Cost Sharing,2023-03-15
441,47780283,75711159,9305295,2920949,DIV,USD,42422,3430,Debit,EBT,Earnings Before Taxes,2018-01-14
202,30251121,62824975,9919578,6993621,DIV,USD,67497,7015,Debit,TV,Transfer Value,2012-07-15
949,17675772,55947333,7373080,6217056,DIV,CAD,2932,2454,Debit,FTT,Financial Transaction Tax,2017-01-10
115,62590777,82120813,5473891,4050911,INT,USD,40405,9444,Debit,ADDL,Additional,2019-09-24
675,35533433,99263996,8199369,6727154,DIV,USD,71000,3167,Debit,MBO,Management Buy Out,2022-07-02
91,68055950,94100035,8011241,6879863,INT,USD,49171,7621,Debit,A/R,Accounts Receivable,2010-08-11
12,72567700,13287362,2849183,2827145,INT,JPY,30448,4800,Debit,RoC,Return on Capital,2018-09-10
164,22247056,59055148,2112917,6991416,DIV,CAD,26894,4289,Debit,Q1,First quarter of the year,2011-06-10
136,76421577,15209281,9043089,8201835,DIV,AUD,8963,1774,Credit,EC,European Commission,2020-03-09
52,91845672,48250434,5442458,4749082,INT,CHF,10768,4416,Debit,TV,Transfer Value,2019-09-07
147,51360087,57392004,6045102,3371029,INT,USD,81772,3798,Debit,CIMPS,Contracted-in Money Purchase Scheme,2015-12-08
31,48250434,27723222,1461526,5080849,DIV,USD,68231,6009,Credit,ADMIS,Admission,2019-01-30
319,56213876,76421577,3225909,3875548,INT,JPY,58099,473,Credit,LTI,Loan to Income,2015-12-29
703,84031182,95443082,5298965,5818211,DIV,AUD,58153,1768,Debit,WoM,Whole of Market,2017-10-18
756,40309252,89209102,6356021,9612705,INT,USD,85943,6522,Credit,ADJ,Adjustment,2017-10-11
865,12797534,70972539,816818,3107156,INT,CHF,53403,5202,Credit,ETF,Exchange Traded Funds,2012-10-22
982,30175399,48040539,5454853,2652439,DIV,USD,29341,8242,Credit,AFFRS,Affairs,2012-08-10
365,55061086,57371335,8426854,5943902,INT,USD,26871,31,Debit,B & C,Bonds And Coupons,2016-11-11
17,88888345,83248986,5060617,6442735,INT,USD,36092,7755,Credit,CAR,Centralized Accounts Receivable,2015-06-02
184,67193454,56213876,3380886,7373673,DIV,USD,84417,3448,Credit,A/R,Accounts Receivable,2018-09-18
513,58467591,52209813,2837672,7206788,INT,JPY,1503,564,Debit,FoF,Fund of Funds,2022-05-14
55,82349676,51360087,4928477,3596905,DIV,USD,17013,2920,Debit,CAR,Centralized Accounts Receivable,2023-01-09
247,24417104,12571700,3448920,1437687,INT,USD,14819,7444,Debit,UHNW,Ultra High Net Worth,2016-03-07
594,25121433,99387492,9493781,9942235,INT,USD,21146,3224,Debit,BEN/BENF,Benefit(s),2023-05-11
921,15453819,12555346,8208708,1412228,INT,USD,62447,1004,Credit,BA,Bank Adjustments,2023-06-17
725,66461688,51390397,1962077,3369675,INT,USD,9841,4095,Credit,COMPS,Contracted-out Money Purchase Scheme,2010-03-23
316,72690192,44344106,6548046,6726107,INT,SEK,79080,7662,Debit,EBT,Earnings Before Taxes,2014-12-24
715,79230130,42436409,2369097,3466074,DIV,JPY,66852,6992,Credit,B & C,Bonds And Coupons,2023-03-03
604,44826243,80071652,5559616,1469097,DIV,AUD,50068,5752,Debit,VaR,Value at Risk,2011-06-19
28,17974327,10654445,6615033,3168083,INT,USD,93521,6239,Credit,CIMPS,Contracted-in Money Purchase Scheme,2020-08-21
153,26403213,41069180,5946529,7058794,DIV,GBP,9718,322,Credit,Q2,Second quarter of the year,2010-09-22
506,43353670,95321064,5156770,3493583,DIV,SEK,26440,1154,Debit,FoF,Fund of Funds,2019-01-29
414,19307241,81836467,1916275,7816728,DIV,USD,3825,8946,Debit,CIMPS,Contracted-in Money Purchase Scheme,2021-05-01
443,96966877,29877655,6016198,4962935,DIV,AUD,91017,9058,Debit,WoM,Whole of Market,2016-04-05
357,90067681,67761974,7723789,8450993,DIV,SEK,76853,1195,Debit,ETF,Exchange Traded Funds,2021-10-23
553,30676139,85014964,2176711,9288438,DIV,USD,37161,3887,Credit,PBT,Profit before Taxes,2011-12-22
157,23888046,70752146,929075,4620964,DIV,CHF,55530,6765,Credit,CESR,Committee of European Securities Regulators,2010-07-02
229,87734958,78888083,5077218,8110573,DIV,CAD,31444,9091,Credit,APC/APD,Amended Payroll Certification/Distribution,2023-04-20
876,82154926,45272520,4540402,7844635,DIV,CAD,77155,41,Credit,ADDL,Additional,2016-12-09
28,16645785,17981348,270422,7634711,INT,EUR,9819,8514,Credit,PBT,Profit before Taxes,2018-10-30
536,23091261,40510830,1918900,7186779,DIV,NZD,61677,394,Debit,EC,European Commission,2017-02-14
620,57392004,96709480,428871,7366886,INT,USD,88740,8513,Debit,PBT,Profit before Taxes,2022-02-22
290,72453824,61606535,2164874,7804813,INT,CHF,56951,3354,Debit,Q2,Second quarter of the year,2012-08-31
847,81568473,22171807,6875101,3875772,INT,AUD,64131,4051,Debit,ETF,Exchange Traded Funds,2011-02-02
666,10337657,94100035,3287841,2822376,DIV,NZD,65504,391,Credit,MBO,Management Buy Out,2012-06-25
344,28832125,71470165,8916825,1348627,INT,USD,46480,4746,Credit,FoF,Fund of Funds,2012-02-06
928,40510830,80238462,4726606,8035975,INT,USD,26835,5878,Debit,Q1,First quarter of the year,2017-02-02
388,60209088,48100808,1615033,1607422,DIV,GBP,85145,958,Debit,ADDL,Additional,2016-01-16
334,39613148,90655537,2199039,8660940,DIV,EUR,15838,3551,Debit,CESR,Committee of European Securities Regulators,2012-01-08
46,98286561,16427295,2347701,9078219,DIV,USD,36051,4046,Credit,C+MV,Cost Plus Market Value,2012-05-30
149,32657184,33699185,7115705,1265192,INT,AUD,94193,7123,Credit,MBI,Management Buy In,2022-12-02
546,84368459,30796026,8043617,5925731,DIV,GBP,92270,8735,Debit,CWP,Conventional With Profits,2023-03-02
855,39233146,94860315,8752693,2810940,INT,SEK,97060,2828,Credit,CTF,Child Trust Fund,2019-10-24
836,86072219,59581317,8232286,8918889,INT,USD,44928,1293,Credit,RoC,Return on Capital,2010-08-09
996,83804122,11152271,9372295,1977990,DIV,GBP,29635,1572,Debit,CIMPS,Contracted-in Money Purchase Scheme,2022-09-24
492,93395851,49948663,5255551,6010389,DIV,USD,81206,2624,Credit,IHT,Inheritance Tax,2017-11-08
292,44160303,48483391,5779877,2201025,DIV,USD,88337,2390,Debit,PV,Present Value,2023-05-04
130,63470824,35780302,5676210,6188776,DIV,GBP,92569,3884,Debit,DGI,Domestically Generated Inflation,2021-05-02
827,22680175,62189574,9747255,2486639,DIV,USD,83531,2532,Debit,OMO,Open Market Option,2020-03-20
117,79998922,13017177,5447423,7665691,INT,USD,45938,1062,Debit,EC,European Commission,2014-04-11
323,27226088,65238493,162233,6410649,INT,JPY,60233,1027,Credit,APPROP,Appropriations,2019-12-17
871,51012684,79998922,9679932,7671404,INT,CHF,46783,1134,Debit,APPROP,Appropriations,2017-02-28
389,79547443,21424926,5187426,4034608,INT,CNY,70343,4250,Credit,CIMPS,Contracted-in Money Purchase Scheme,2018-12-06
729,26139044,80446904,7463807,9659315,DIV,JPY,74296,594,Credit,NBV,Net Book Value,2019-04-15
831,16669502,20346836,3113208,3687725,INT,USD,30072,7771,Debit,MBI,Management Buy In,2021-04-08
262,12069736,49948663,9885862,2483106,DIV,SEK,55503,6366,Debit,CIMPS,Contracted-in Money Purchase Scheme,2016-12-19
527,53059214,23362553,5289155,7314139,DIV,AUD,35227,985,Credit,ADMIS,Admission,2021-03-14
